Date,AAPL,ABB,HPQ,MSFT,NVDA
2019-01-02,157.9199981689453,19.0,20.6299991607666,101.1200027,136.22000122070312
2019-01-03,142.19000244140625,18.6200008392334,19.93000030517578,97.40000153,127.98999786376952
2019-01-04,148.25999450683594,19.290000915527344,20.71999931335449,101.9300003,136.19000244140625
2019-01-07,147.92999267578125,19.21999931335449,20.950000762939453,102.0599976,143.39999389648438
2019-01-08,150.75,19.5,21.209999084472656,102.8000031,139.8300018310547
2019-01-09,153.30999755859375,19.739999771118164,21.209999084472656,104.2699966,142.5800018310547
2019-01-10,153.8000030517578,19.809999465942383,21.46999931335449,103.5999985,145.22999572753906
2019-01-11,152.2899932861328,19.39999961853028,21.170000076293945,102.8000031,148.8300018310547
2019-01-14,150.0,19.40999984741211,20.790000915527344,102.0500031,150.44000244140625
2019-01-15,153.07000732421875,19.26000022888184,21.01000022888184,105.0100021,149.8699951171875
2019-01-16,154.94000244140625,19.170000076293945,21.049999237060547,105.3799973,148.83999633789062
2019-01-17,155.86000061035156,19.14999961853028,21.229999542236328,106.1200027,151.72000122070312
2019-01-18,156.82000732421875,19.450000762939453,21.75,107.7099991,156.92999267578125
2019-01-22,153.3000030517578,19.170000076293945,21.31999969482422,105.6800003,148.77000427246094
2019-01-23,153.9199981689453,19.1299991607666,21.440000534057617,106.7099991,149.2899932861328
2019-01-24,152.6999969482422,18.950000762939453,21.770000457763672,106.1999969,157.83999633789062
2019-01-25,157.75999450683594,19.489999771118164,22.100000381469727,107.1699982,160.14999389648438
2019-01-28,156.3000030517578,19.209999084472656,21.979999542236328,105.0800018,138.00999450683594
2019-01-29,154.67999267578125,19.020000457763672,21.8799991607666,102.9400024,131.60000610351562
2019-01-30,165.25,19.36000061035156,22.200000762939453,106.3799973,137.38999938964844
2019-01-31,166.44000244140625,19.14999961853028,22.030000686645508,104.4300003,143.75
2019-02-01,166.52000427246094,19.239999771118164,22.26000022888184,102.7799988,144.72999572753906
2019-02-04,171.25,19.420000076293945,22.549999237060547,105.7399979,149.17999267578125
